Exch,ExchType,Token,LastRate,LastQty,TotalQty,High,Low,OpenRate,PClose,AvgRate,Time,BidQty,BidRate,OffQty,OffRate,TBidQ,TOffQ,TickDt,ChgPcnt
N,C,2885,1272.25,57,1233907,1283.7,1269.4,1276.15,1281.55,1273.9,12818,213,1272.05,80,1272.25,313408,512897,/Date(1738901018000)/,-0.725683749
B,C,500325,1271.7,5,46480,1284.75,1266.45,1266.45,1281.55,1271.96,12814,141,1271.7,96,1272.45,121249,122254,/Date(1738901014000)/,-0.7686005
N,C,11536,4034,348,218534,4090,4028.7,4090,4082.75,4051.88,12819,196,4034,4,4034.5,72482,85741,/Date(1738901019000)/,-1.19404817
B,C,532540,4035.9,2,2270,4091.9,4030,4060.15,4082.7,4046.06,12804,21,4033.1,5,4035.9,18356,22742,/Date(1738901004000)/,-1.1463002
N,C,1333,1755.65,1477,1730440,1757.5,1746.75,1750,1743.85,1752.74,12815,226,1755.4,401,1755.65,231237,389089,/Date(1738901015000)/,0.6766637
B,C,500180,1755,5,26322,1757.35,1747.5,1750.55,1744.7,1753.28,12818,41,1754.85,62,1755.75,73291,85608,/Date(1738901018000)/,0.5903594
N,C,1594,1901.5,817,478048,1923.7,1901.5,1919.3,1915.65,1910.64,12818,2003,1901.5,88,1901.7,141522,184830,/Date(1738901018000)/,-0.738652647
B,C,500209,1902.5,2,14770,1921,1880.2,1880.2,1915.95,1900.76,12818,2,1901.05,54,1902.45,43503,66141,/Date(1738901018000)/,-0.702001631
N,C,1394,2354.75,86,91505,2381.95,2350,2380,2372.7,2356.46,12813,133,2354,6,2354.45,86601,67112,/Date(1738901013000)/,-0.7565221
B,C,500696,2355.2,5,5258,2382.95,2350.4,2382.95,2373.5,2357.43,12809,11,2353.55,31,2355.15,28482,29016,/Date(1738901009000)/,-0.77101326
N,C,4963,1269.6,347,564255,1275,1268,1272,1272.4,1270.84,12812,1,1269.45,538,1269.6,258506,306091,/Date(1738901012000)/,-0.220056579
B,C,532174,1269,5,5409,1273.35,1268.25,1272.6,1272.65,1270.39,12818,77,1269,61,1269.7,69398,84035,/Date(1738901018000)/,-0.286803126
N,C,1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Date(-62135596800000)/,0
B,C,500247,1918.35,100,1309,1920.85,1913.55,1917.25,1915.55,1917.2,12769,17,1916.4,5,1918,38843,41769,/Date(1738900969000)/,0.146172121
N,C,5900,1017.3,1074,187971,1024.45,1014.55,1019.5,1020.7,1017.64,12816,631,1017.1,17,1017.3,255839,303842,/Date(1738901016000)/,-0.33310473
B,C,532215,1017.35,48,5087,1023,1015,1020.55,1020.55,1017.8,12814,107,1016.7,55,1017.35,77374,78093,/Date(1738901014000)/,-0.313556433
N,C,11483,3358.05,173,63962,3369.95,3350.35,3367,3352.75,3357.44,12817,3,3357.05,25,3357.65,90886,95109,/Date(1738901017000)/,0.158079192
B,C,500510,3357.35,2,5078,3397.85,3349.6,3397.85,3352.9,3358.14,12817,21,3356.65,8,3357.35,20634,25416,/Date(1738901017000)/,0.132720932
N,C,3045,742,1902,4500047,759.9,740.8,759.8,752.25,745.73,12818,2124,741.95,956,742,883090,1254947,/Date(1738901018000)/,-1.362579
B,C,500112,741.85,100,209967,761.8,740.55,761.8,752.35,744.98,12818,217,741.85,423,742.25,171658,236712,/Date(1738901018000)/,-1.395627
N,C,2885,1272.2,32,1233939,1283.7,1269.4,1276.15,1281.55,1273.9,12819,203,1272.05,88,1272.2,314842,514159,/Date(1738901019000)/,-0.72958523
N,C,1594,1901.5,1503,479551,1923.7,1901.5,1919.3,1915.65,1910.61,12819,1318,1901.5,88,1901.75,140311,183910,/Date(1738901019000)/,-0.738652647
B,C,500325,1272.35,25,46505,1284.75,1266.45,1266.45,1281.55,1271.96,12819,42,1271.7,116,1272.35,121796,121899,/Date(1738901019000)/,-0.717880666
B,C,500112,742.25,5,209972,761.8,740.55,761.8,752.35,744.98,12819,106,741.9,418,742.25,171382,236790,/Date(1738901019000)/,-1.34246027
N,C,11483,3357,8,63970,3369.95,3350.35,3367,3352.75,3357.44,12818,1,3357.05,14,3357.65,90868,95099,/Date(1738901018000)/,0.126761615
N,C,3045,742,701,4500748,759.9,740.8,759.8,752.25,745.73,12819,1954,741.95,415,742,882887,1255357,/Date(1738901019000)/,-1.362579
N,C,11536,4034,360,218894,4090,4028.7,4090,4082.75,4051.85,12820,1,4033.2,15,4034.05,72328,86009,/Date(1738901020000)/,-1.19404817
N,C,4963,1269.45,45,564300,1275,1268,1272,1272.4,1270.84,12818,2,1269.05,470,1269.5,253671,305904,/Date(1738901018000)/,-0.231845334
N,C,2885,1272.2,100,1234039,1283.7,1269.4,1276.15,1281.55,1273.9,12820,203,1272.05,3,1272.2,314857,513663,/Date(1738901020000)/,-0.72958523
N,C,1594,1901.5,1295,480846,1923.7,1901.5,1919.3,1915.65,1910.59,12820,94,1901.5,156,1901.75,140891,183292,/Date(1738901020000)/,-0.738652647
B,C,500112,742.25,33,210005,761.8,740.55,761.8,752.35,744.98,12820,7,742,385,742.25,171523,238089,/Date(1738901020000)/,-1.34246027
N,C,3045,742,421,4501169,759.9,740.8,759.8,752.25,745.73,12820,1954,741.95,793,742,884355,1256195,/Date(1738901020000)/,-1.362579
N,C,11536,4033,25,218919,4090,4028.7,4090,4082.75,4051.85,12821,5,4033,12,4034,72545,85923,/Date(1738901021000)/,-1.21854138
N,C,2885,1272.2,100,1234139,1283.7,1269.4,1276.15,1281.55,1273.9,12821,136,1272.05,1,1272.2,312665,514825,/Date(1738901021000)/,-0.72958523
